Date,Status,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB,Total
17 Apr,Confirmed,1,38,0,0,2,0,0,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146.0,0,0,0,14,0,98,0,66,56,0,44,3,24,922
17 Apr,Recovered,0,15,0,4,0,0,1,0,20,0,0,13,0,21,0,4,6,10,0,0,31,0,0,0.0,0,0,2,1,0,19,0,0,103,0,14,0,9,273
17 Apr,Deceased,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,0,0,7,0,0,14.0,0,0,0,0,0,6,0,0,0,0,1,0,0,38
18 Apr,Confirmed,2,31,0,0,1,2,0,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92.0,0,0,1,23,0,122,0,43,49,0,126,2,32,1371
18 Apr,Recovered,0,7,0,3,5,0,1,0,135,0,0,7,0,14,0,9,16,2,0,0,34,0,0,57.0,0,0,3,1,3,17,0,0,82,0,26,0,4,426
18 Apr,Deceased,0,2,0,0,1,0,0,0,1,0,0,12,0,0,0,0,1,0,0,0,10,0,0,0.0,0,0,0,2,0,4,0,0,0,0,0,0,2,35
19 Apr,Confirmed,1,44,0,0,10,3,0,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5.0,0,0,0,10,0,127,0,49,105,0,125,2,23,1580
19 Apr,Recovered,0,23,0,5,0,4,0,0,83,0,1,12,0,4,0,5,7,13,0,0,142,0,0,4.0,0,0,0,6,0,5,0,0,46,0,19,2,7,388
19 Apr,Deceased,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,0,12,0,0,3.0,0,0,0,0,0,2,0,3,0,0,3,0,0,38
20 Apr,Confirmed,1,75,0,0,17,0,0,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78.0,0,0,13,1,0,98,0,14,43,0,84,2,29,1239
20 Apr,Recovered,0,27,0,2,0,1,0,0,141,0,0,26,0,37,4,15,1,21,0,0,65,0,1,7.0,0,0,0,1,0,0,0,0,46,0,13,7,4,419
20 Apr,Deceased,0,3,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,9,0,0,4.0,0,0,0,0,0,2,0,2,2,0,1,0,0,33
21 Apr,Confirmed,1,35,0,0,13,1,0,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67.0,0,0,5,6,0,159,0,56,76,0,153,0,53,1537
21 Apr,Recovered,0,4,0,0,0,0,0,0,180,0,0,8,0,6,0,10,17,16,0,0,150,0,0,10.0,0,0,6,11,0,69,0,8,178,0,22,1,7,703
21 Apr,Deceased,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,19,0,0,4.0,0,0,0,0,0,1,0,0,1,0,3,0,3,53
22 Apr,Confirmed,1,56,0,0,17,0,0,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35.0,0,0,4,27,0,153,0,15,33,0,112,0,31,1292
22 Apr,Recovered,0,24,0,0,0,0,3,0,113,0,0,40,0,11,0,11,2,1,0,0,67,0,0,4.0,0,0,2,4,0,70,0,0,27,0,11,4,0,394
22 Apr,Deceased,0,2,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,36
23 Apr,Confirmed,4,80,0,1,27,0,0,0,128,0,0,217,1,6,7,27,18,10,0,0,778,0,0,100.0,0,0,6,5,0,76,0,27,54,0,61,1,33,1667
23 Apr,Recovered,0,21,0,0,2,0,2,0,84,0,0,79,2,12,4,0,14,8,2,0,51,0,0,51.0,0,0,1,13,0,107,0,58,90,1,33,1,6,642
23 Apr,Deceased,0,3,0,0,0,0,0,0,2,0,0,9,0,0,1,0,0,0,0,0,14,0,0,3.0,0,0,0,1,0,1,0,1,2,0,3,0,0,40
24 Apr,Confirmed,7,62,0,0,53,0,0,0,138,0,0,191,0,5,6,20,29,3,0,0,390,0,0,159.0,0,0,5,15,0,70,0,13,72,0,111,1,58,1408
24 Apr,Recovered,0,4,0,0,0,1,0,0,49,0,0,7,0,16,0,17,7,15,0,0,117,0,0,7.0,0,0,0,4,0,42,0,39,114,0,20,1,24,484
24 Apr,Deceased,0,2,0,0,0,0,0,0,3,0,0,15,0,0,0,0,1,1,0,0,18,0,0,9.0,0,0,0,0,0,4,0,0,2,0,1,0,3,59
25 Apr,Confirmed,4,61,0,0,28,1,1,0,111,0,0,256,0,12,8,40,26,7,2,0,811,0,0,99.0,0,0,6,10,1,49,0,7,66,0,172,0,57,1835
25 Apr,Recovered,0,26,0,0,1,0,2,0,12,0,0,17,4,5,0,3,6,7,0,0,119,0,0,71.0,0,0,1,2,0,20,0,16,94,0,35,1,0,442
25 Apr,Deceased,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,22,0,0,7.0,0,0,0,0,0,2,0,0,1,0,2,0,0,44
26 Apr,Confirmed,0,81,0,0,26,8,0,0,293,0,0,230,0,9,15,29,3,11,0,0,440,0,0,145.0,0,0,3,14,0,102,0,11,64,0,80,3,40,1607
26 Apr,Recovered,0,60,0,8,11,2,0,0,8,0,0,31,0,8,5,25,24,4,0,0,112,0,0,21.0,0,0,1,12,0,116,0,9,60,0,66,0,2,585
26 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,19,0,0,4.0,0,0,0,1,0,7,0,0,1,0,3,0,2,56
27 Apr,Confirmed,0,80,0,0,69,9,0,0,190,0,0,247,0,5,21,23,9,13,0,0,522,0,0,75.0,0,0,15,8,0,77,0,2,52,0,113,0,38,1568
27 Apr,Recovered,0,4,0,0,0,0,0,0,0,0,0,81,3,14,4,27,11,13,0,0,94,0,0,55.0,0,0,2,14,1,115,0,16,54,0,72,0,0,580
27 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,27,0,0,7.0,0,0,0,1,0,9,0,0,0,0,1,0,0,58
28 Apr,Confirmed,0,82,0,2,20,11,1,0,206,0,0,226,0,7,2,19,11,4,2,0,728,0,0,222.0,0,0,0,12,0,102,0,6,121,0,67,3,48,1902
28 Apr,Recovered,4,23,0,0,8,0,2,0,201,0,0,40,0,11,2,12,14,4,0,0,106,0,0,16.0,0,0,1,3,0,26,0,42,54,0,63,0,4,636
28 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,31,0,0,10.0,0,0,0,0,0,2,0,0,1,0,3,0,2,69
29 Apr,Confirmed,0,73,0,0,37,12,0,0,125,0,0,308,0,3,2,16,12,10,0,0,597,0,0,173.0,0,0,7,33,0,76,0,7,104,0,81,1,28,1705
29 Apr,Recovered,0,29,0,2,0,0,0,0,14,0,0,93,0,1,0,16,9,10,1,0,205,0,0,88.0,0,0,1,0,0,44,0,35,82,0,48,2,10,690
29 Apr,Deceased,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,1,0,0,0,32,0,0,10.0,0,0,0,0,0,3,0,0,2,0,5,0,0,71
30 Apr,Confirmed,0,71,0,5,22,6,2,0,76,0,0,313,0,28,3,33,30,2,0,0,583,0,0,65.0,0,0,18,105,0,144,0,22,161,0,77,2,33,1801
30 Apr,Recovered,1,34,0,0,20,1,2,0,2,0,0,86,3,10,0,24,13,14,0,0,180,0,0,21.0,0,0,2,3,0,79,0,33,48,0,41,8,5,630
30 Apr,Deceased,0,0,0,0,0,0,0,0,3,0,0,17,0,1,0,0,1,0,0,0,27,0,0,7.0,0,0,0,1,0,3,0,3,0,0,1,0,11,75
01 May,Confirmed,0,60,0,0,41,14,3,0,223,0,0,326,0,18,3,25,24,0,0,0,1008,0,0,90.0,0,0,11,105,0,82,0,6,203,0,117,0,37,2396
01 May,Recovered,0,82,0,4,14,0,0,0,73,0,0,123,2,6,2,31,22,9,0,0,106,10,0,42.0,0,0,14,4,0,223,0,22,54,0,103,1,15,962
01 May,Deceased,0,2,0,0,1,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,26,0,0,8.0,0,0,0,0,0,4,0,0,1,0,2,1,8,77
02 May,Confirmed,0,62,0,0,15,6,0,0,384,0,0,333,0,19,2,27,12,2,1,0,790,0,0,73.0,0,0,6,187,1,106,0,17,231,2,159,2,127,2564
02 May,Recovered,10,38,0,0,19,1,0,0,89,0,0,160,3,1,1,7,20,8,0,0,121,0,0,100.0,0,0,1,4,0,126,0,35,29,0,44,2,12,831
02 May,Deceased,0,0,0,0,1,0,0,0,3,0,0,26,0,1,0,0,3,0,0,0,36,0,0,6.0,0,0,0,0,0,6,0,1,1,0,1,0,7,92
03 May,Confirmed,0,58,0,0,36,3,14,0,427,0,0,374,0,66,0,35,13,0,19,0,678,0,0,49.0,0,0,2,330,0,114,0,21,266,12,158,1,276,2952
03 May,Recovered,6,47,0,0,7,0,0,0,106,0,0,146,1,3,5,33,22,1,0,0,115,0,0,174.0,0,0,4,5,1,114,0,46,38,0,56,0,-19,911
03 May,Deceased,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,27,0,0,5.0,0,0,0,1,0,3,0,0,1,0,0,0,74,140
04 May,Confirmed,0,67,0,0,11,5,1,0,349,0,0,376,1,75,0,25,37,0,0,0,1567,0,0,105.0,0,0,7,130,0,175,0,3,527,13,121,0,61,3656
04 May,Recovered,0,36,0,0,3,2,0,0,69,0,0,153,0,9,0,16,28,61,0,0,350,0,0,58.0,0,0,0,11,0,82,0,40,30,0,48,0,86,1082
04 May,Deceased,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,2,0,0,0,35,0,0,9.0,0,0,0,2,0,6,0,0,1,0,7,0,11,103
05 May,Confirmed,0,67,0,2,7,17,1,0,206,1,0,441,1,31,10,15,22,3,0,0,984,0,0,107.0,0,0,8,219,0,97,0,11,508,13,114,1,85,2971
05 May,Recovered,0,65,0,0,31,0,0,0,37,0,0,186,0,2,6,17,10,0,0,0,354,0,0,144.0,1,0,0,5,0,87,0,43,76,0,185,0,46,1295
05 May,Deceased,0,1,0,0,0,0,0,0,0,0,0,49,1,0,0,0,2,0,0,0,34,0,0,11.0,0,0,1,2,0,12,0,0,2,0,6,0,7,128
06 May,Confirmed,0,60,0,1,7,5,0,0,428,0,0,380,1,46,2,34,20,0,0,0,1233,0,0,89.0,0,0,28,75,0,159,0,11,771,22,118,0,112,3602
06 May,Recovered,0,140,0,2,0,0,0,0,74,0,0,119,0,4,4,2,23,7,0,0,275,0,0,99.0,0,0,1,2,0,214,0,20,31,0,143,0,1,1161
06 May,Deceased,0,2,0,0,0,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,34,0,0,9.0,0,0,0,2,0,4,0,0,2,0,4,0,4,91
07 May,Confirmed,0,56,0,8,8,11,0,0,448,0,0,388,3,31,5,18,12,0,0,0,1216,0,0,114.0,0,0,14,118,0,110,0,15,580,24,73,0,92,3344
07 May,Recovered,1,51,0,0,60,0,0,0,389,0,0,209,0,0,4,13,12,5,0,0,207,0,0,132.0,0,0,1,14,0,150,0,45,31,0,120,0,31,1475
07 May,Deceased,0,2,0,0,1,0,0,0,1,0,0,29,0,0,0,1,1,0,0,0,43,0,0,8.0,0,0,0,1,0,6,0,0,2,0,2,0,7,104
08 May,Confirmed,0,54,0,6,29,11,0,0,338,0,0,390,4,22,22,30,48,1,0,0,1089,0,0,89.0,0,0,51,87,1,152,0,10,600,30,143,2,130,3339
08 May,Recovered,0,62,0,0,49,0,2,0,89,0,0,163,0,19,0,29,10,10,1,0,169,0,0,118.0,0,0,1,3,2,122,0,34,58,0,137,6,27,1111
08 May,Deceased,0,3,0,1,0,1,0,0,2,0,0,24,0,1,0,0,0,0,0,0,37,0,0,7.0,0,0,0,1,0,4,0,0,3,0,4,0,9,97
09 May,Confirmed,0,43,0,2,32,23,0,0,224,0,0,394,2,28,2,13,41,2,0,0,1165,1,0,116.0,0,0,82,31,0,129,0,31,526,17,159,4,108,3175
09 May,Recovered,0,45,0,0,51,3,5,0,0,0,0,219,1,11,37,4,10,1,0,0,330,0,0,131.0,0,0,5,5,0,151,0,24,219,0,112,1,49,1414
09 May,Deceased,0,3,0,-1,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,48,0,0,11.0,0,0,1,2,0,3,0,1,4,0,8,0,11,115
10 May,Confirmed,0,50,0,1,96,4,0,0,381,0,0,398,6,28,1,25,54,7,0,0,1943,0,0,157.0,0,0,25,61,2,106,0,33,669,16,94,1,153,4311
10 May,Recovered,0,38,0,0,36,0,6,0,49,0,0,454,0,10,0,15,36,4,3,0,399,0,0,196.0,0,0,0,9,1,79,0,0,135,0,154,0,45,1669
10 May,Deceased,0,1,0,0,1,1,0,0,5,0,0,21,0,1,0,0,1,0,0,0,53,0,0,4.0,0,0,0,0,0,2,0,0,3,0,5,0,14,112
11 May,Confirmed,0,38,0,2,42,8,0,0,310,0,0,347,1,27,4,18,14,7,0,0,1230,0,0,171.0,0,0,38,54,0,174,0,79,798,0,106,0,124,3592
11 May,Recovered,0,73,0,5,23,4,4,0,60,0,0,235,0,37,0,44,4,0,1,0,587,0,0,71.0,0,0,17,2,0,83,0,50,92,0,105,0,82,1579
11 May,Deceased,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,0,0,36,0,0,6.0,0,0,0,0,0,5,0,0,6,0,1,0,5,81
12 May,Confirmed,0,71,0,0,130,6,0,0,406,0,0,362,8,50,11,55,63,5,0,0,1026,0,0,201.0,0,0,22,37,0,138,0,51,716,2,91,1,110,3562
12 May,Recovered,0,58,0,0,5,2,1,0,383,1,0,466,0,5,1,28,7,0,0,0,339,0,0,113.0,0,0,31,3,0,130,0,21,83,0,115,0,113,1905
12 May,Deceased,0,1,0,0,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,53,0,0,4.0,0,0,0,1,0,4,0,2,8,0,2,0,8,120
13 May,Confirmed,0,48,0,15,74,4,0,0,359,0,0,364,1,13,5,37,34,10,1,0,1495,0,0,187.0,0,0,101,10,1,202,0,41,509,1,94,3,117,3726
13 May,Recovered,0,86,0,0,18,0,1,0,346,0,0,316,0,76,8,11,18,1,0,0,422,1,0,144.0,0,0,27,29,0,119,0,117,41,0,92,0,90,1963
13 May,Deceased,0,1,0,0,1,0,0,0,20,0,0,29,0,0,0,1,2,0,0,0,54,0,0,7.0,0,0,0,0,0,4,0,2,3,0,4,0,9,137
14 May,Confirmed,0,68,0,7,46,0,1,0,472,0,8,324,6,25,26,12,28,26,0,0,1602,0,1,253.0,0,0,134,11,3,206,0,47,447,1,144,6,87,3991
14 May,Recovered,0,50,0,0,12,7,1,0,187,0,0,191,0,21,0,19,9,3,0,0,542,0,0,167.0,0,0,15,23,0,65,0,13,65,27,107,4,66,1594
14 May,Deceased,0,1,0,0,0,0,0,0,9,0,0,20,0,0,0,0,2,0,0,0,44,0,0,5.0,0,0,0,0,0,4,0,0,2,0,2,0,8,97
15 May,Confirmed,0,84,0,0,34,0,6,0,425,0,0,340,2,36,8,30,69,16,0,0,1576,0,0,169.0,0,0,65,-3,0,213,0,40,434,0,155,4,84,3787
15 May,Recovered,0,60,0,1,28,3,0,0,473,0,0,282,0,25,10,28,20,0,2,0,475,0,0,112.0,0,0,8,82,0,81,0,7,359,13,93,1,61,2224
15 May,Deceased,0,0,0,0,0,0,0,0,8,0,0,20,0,2,0,0,1,0,0,0,49,0,0,2.0,0,0,0,0,0,0,0,0,5,0,7,0,10,104
16 May,Confirmed,0,48,0,3,145,0,1,0,438,0,5,1057,2,33,6,108,36,11,0,0,1606,0,4,195.0,0,0,0,14,0,213,0,55,477,11,201,9,115,4793
16 May,Recovered,0,101,0,0,33,11,2,0,408,0,0,273,4,50,16,29,16,4,0,0,524,0,0,32.0,0,0,30,952,0,215,0,12,939,22,276,0,63,4012
16 May,Deceased,0,1,0,0,1,0,0,0,6,0,0,19,0,0,0,1,0,0,0,0,67,0,0,4.0,0,0,0,0,0,1,0,0,4,0,9,0,7,120
17 May,Confirmed,0,25,0,8,142,0,18,0,422,0,9,391,2,23,6,62,55,14,0,0,2347,0,0,187.0,0,0,91,18,0,242,0,42,639,-2,206,1,101,5049
17 May,Recovered,0,103,0,1,0,0,1,0,276,0,0,191,1,48,0,33,13,0,0,0,600,0,0,88.0,0,0,24,109,0,111,0,21,634,21,195,1,67,2538
17 May,Deceased,0,1,0,0,0,0,0,0,19,0,0,34,0,1,0,1,1,0,0,0,63,0,0,5.0,0,0,1,3,0,5,0,0,4,0,8,0,6,152
