USAState,TotalCases,TotalDeaths,ActiveCases,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
New York,359847,28325.0,270099,18498.0,1456.0,1420465.0,73018.0
New Jersey,148197,10366.0,131076,16685.0,1167.0,524516.0,59053.0
Illinois,94191,4177.0,87846,7433.0,330.0,581944.0,45924.0
Massachusetts,86010,5797.0,52401,12479.0,841.0,460826.0,66859.0
California,80265,3289.0,63870,2031.0,83.0,1243242.0,31465.0
Pennsylvania,65816,4503.0,54593,5141.0,352.0,344124.0,26881.0
Michigan,51142,4891.0,18017,5121.0,490.0,411506.0,41205.0
Texas,48677,1360.0,19747,1679.0,47.0,693276.0,23909.0
Florida,45588,1973.0,35977,2123.0,92.0,653081.0,30407.0
Maryland,38804,1992.0,34006,6418.0,329.0,194926.0,32242.0
Georgia,37701,1609.0,35752,3551.0,152.0,351175.0,33075.0
Connecticut,37419,3408.0,27747,10495.0,956.0,170607.0,47852.0
Louisiana,34432,2491.0,9333,7407.0,536.0,265170.0,57041.0
Virginia,30388,1009.0,25386,3560.0,118.0,210825.0,24700.0
Ohio,27929,1628.0,22133,2389.0,139.0,264462.0,22625.0
Indiana,27778,1751.0,24158,4126.0,260.0,177243.0,26328.0
Colorado,21938,1215.0,19232,3810.0,211.0,126330.0,21937.0
Washington,19283,1016.0,13394,2532.0,133.0,288507.0,37887.0
North Carolina,18659,684.0,8860,1779.0,65.0,248944.0,23736.0
Tennessee,17388,298.0,7438,2546.0,44.0,325280.0,47631.0
Minnesota,15668,731.0,4040,2778.0,130.0,150605.0,26705.0
Iowa,14651,351.0,7146,4644.0,111.0,100241.0,31771.0
Arizona,13937,680.0,13187,1915.0,93.0,203006.0,27890.0
Rhode Island,12674,499.0,11289,11964.0,471.0,112550.0,106243.0
Wisconsin,12543,453.0,5317,2154.0,78.0,152217.0,26143.0
Veteran Affairs,12060,1005.0,2004,,,143876.0,
Alabama,11771,488.0,11263,2401.0,100.0,156350.0,31887.0
Mississippi,11296,521.0,4507,3796.0,175.0,113126.0,38011.0
Missouri,11057,604.0,7646,1802.0,98.0,157044.0,25588.0
Nebraska,10348,123.0,9876,5349.0,64.0,67649.0,34971.0
South Carolina,8816,385.0,2388,1712.0,75.0,127802.0,24822.0
US Military,8374,27.0,4397,,,,
Kansas,7951,195.0,5279,2729.0,67.0,61592.0,21142.0
Kentucky,7688,334.0,4586,1721.0,75.0,129685.0,29027.0
Delaware,7670,290.0,3902,7877.0,298.0,40865.0,41966.0
Utah,7238,80.0,3440,2258.0,25.0,170752.0,53261.0
District Of Columbia,7123,383.0,5717,10093.0,543.0,36526.0,51755.0
Nevada,6857,350.0,1468,2226.0,114.0,95954.0,31152.0
New Mexico,5938,265.0,3934,2832.0,126.0,133253.0,63550.0
Oklahoma,5310,288.0,1077,1342.0,73.0,123472.0,31204.0
Arkansas,4759,98.0,1071,1577.0,32.0,85185.0,28227.0
South Dakota,3987,44.0,1270,4507.0,50.0,28559.0,32282.0
Navajo Nation,3912,140.0,3772,,,19441.0,
Federal Prisons,3629,56.0,1291,,,,
Oregon,3623,137.0,2080,859.0,32.0,94356.0,22371.0
New Hampshire,3596,172.0,2156,2645.0,126.0,53405.0,39277.0
Puerto Rico,2646,123.0,1777,781.0,36.0,13022.0,3845.0
Idaho,2419,73.0,967,1354.0,41.0,36672.0,20521.0
North Dakota,1900,43.0,679,2493.0,56.0,55221.0,72463.0
Maine,1687,70.0,589,1255.0,52.0,33035.0,24576.0
West Virginia,1490,67.0,504,831.0,37.0,75490.0,42123.0
Vermont,940,54.0,76,1506.0,87.0,23205.0,37188.0
Wyoming,754,8.0,248,1303.0,14.0,16394.0,28326.0
Hawaii,640,17.0,50,452.0,12.0,41788.0,29514.0
Montana,468,16.0,21,438.0,15.0,26885.0,25155.0
Alaska,396,10.0,42,541.0,14.0,34651.0,47367.0
Guam,154,5.0,18,,,605.0,
Grand Princess Ship,103,3.0,100,,,,
United States Virgin Islands,69,6.0,2,,,1278.0,
Diamond Princess Ship,46,,46,,,46.0,
Northern Mariana Islands,21,2.0,7,,,3325.0,
Wuhan Repatriated,3,,3,,,3.0,
